track_id,track_name,track_number,duration_ms,duration_min,artist,album,popularity,release_date,spotify_url
0UzApqRTAi3d2iZexmuP3s,"No One Mourns The Wicked - From ""Wicked"" Original Broadway Cast Recording/2003",1,400533,6.68,"Stephen Schwartz, Kristin Chenoweth, Sean McCourt, Cristy Candler, Jan Neuberger, Stephen Oremus",Wicked (Original Broadway Cast Recording / Deluxe Edition),52,2013-01-01,https://open.spotify.com/track/0UzApqRTAi3d2iZexmuP3s
446KBz5OadTvBfXPd3L3gJ,"Dear Old Shiz - From ""Wicked"" Original Broadway Cast Recording/2003",2,86213,1.44,"Stephen Schwartz, John Powell, Kristin Chenoweth, Stephen Oremus",Wicked (Original Broadway Cast Recording / Deluxe Edition),46,2013-01-01,https://open.spotify.com/track/446KBz5OadTvBfXPd3L3gJ
7279cZz7RhBAmRHAPraTeV,"The Wizard And I - From ""Wicked"" Original Broadway Cast Recording/2003",3,309520,5.16,"Stephen Schwartz, Carole Shelley, Idina Menzel, Stephen Oremus",Wicked (Original Broadway Cast Recording / Deluxe Edition),51,2013-01-01,https://open.spotify.com/track/7279cZz7RhBAmRHAPraTeV
2lNRPajwEfma5EEmsgAe1w,"What Is This Feeling? - From ""Wicked"" Original Broadway Cast Recording/2003",4,212226,3.54,"Stephen Schwartz, Kristin Chenoweth, Idina Menzel, Stephen Oremus",Wicked (Original Broadway Cast Recording / Deluxe Edition),53,2013-01-01,https://open.spotify.com/track/2lNRPajwEfma5EEmsgAe1w
1H2ZgFkgOHssJE8y24r5V2,"Something Bad - From ""Wicked"" Original Broadway Cast Recording/2003",5,99186,1.65,"Stephen Schwartz, John Powell, William Youmans, Idina Menzel, Stephen Oremus",Wicked (Original Broadway Cast Recording / Deluxe Edition),45,2013-01-01,https://open.spotify.com/track/1H2ZgFkgOHssJE8y24r5V2
45Yr7rD2vH3OsTRseT6gfA,"Dancing Through Life - From ""Wicked"" Original Broadway Cast Recording/2003",6,457333,7.62,"Stephen Schwartz, Stephen Oremus, Greg Wells, Jack Dolman, Dominick Amendum, Norbert Leo Butz, Kristin Chenoweth, Christopher Fitzgerald, Michelle Federer, Idina Menzel",Wicked (Original Broadway Cast Recording / Deluxe Edition),51,2013-01-01,https://open.spotify.com/track/45Yr7rD2vH3OsTRseT6gfA
57Pk2GU0ABFYBbbcgYxqki,"Popular - From ""Wicked"" Original Broadway Cast Recording/2003",7,224386,3.74,"Stephen Schwartz, Kristin Chenoweth, Stephen Oremus",Wicked (Original Broadway Cast Recording / Deluxe Edition),53,2013-01-01,https://open.spotify.com/track/57Pk2GU0ABFYBbbcgYxqki
5HZCMnScUwekum55mcRdjK,"I'm Not That Girl - From ""Wicked"" Original Broadway Cast Recording/2003",8,178760,2.98,"Stephen Schwartz, Idina Menzel, Stephen Oremus",Wicked (Original Broadway Cast Recording / Deluxe Edition),50,2013-01-01,https://open.spotify.com/track/5HZCMnScUwekum55mcRdjK
0FD6tpo88qkJmdaAyvR1yU,"One Short Day - From ""Wicked"" Original Broadway Cast Recording/2003",9,183853,3.06,"Stephen Schwartz, Kristin Chenoweth, Idina Menzel, Stephen Oremus",Wicked (Original Broadway Cast Recording / Deluxe Edition),49,2013-01-01,https://open.spotify.com/track/0FD6tpo88qkJmdaAyvR1yU
3173yykxdnGmWEASuLPSo8,"A Sentimental Man - From ""Wicked"" Original Broadway Cast Recording/2003",10,76066,1.27,"Stephen Schwartz, Joel Grey, Stephen Oremus",Wicked (Original Broadway Cast Recording / Deluxe Edition),44,2013-01-01,https://open.spotify.com/track/3173yykxdnGmWEASuLPSo8
