song_name,tiktok_video_count,tiktok_view_estimate_millions,peak_trend_date,weeks_trending,primary_trend_type,viral_moment,celebrity_boost,notes
Defying Gravity,0,0.0,,0,,,,
Popular,0,0.0,,0,,,,
The Wizard and I,0,0.0,,0,,,,
For Good,0,0.0,,0,,,,
No Good Deed,0,0.0,,0,,,,
Dancing Through Life,0,0.0,,0,,,,
I'm Not That Girl,0,0.0,,0,,,,
One Short Day,0,0.0,,0,,,,
What Is This Feeling?,0,0.0,,0,,,,
As Long As You're Mine,0,0.0,,0,,,,
No One Mourns the Wicked,0,0.0,,0,,,,
Dear Old Shiz,0,0.0,,0,,,,
Something Bad,0,0.0,,0,,,,
Wonderful,0,0.0,,0,,,,
I Couldn't Be Happier,0,0.0,,0,,,,
A Sentimental Man,0,0.0,,0,,,,
March of the Witch Hunters,0,0.0,,0,,,,
Thank Goodness,0,0.0,,0,,,,
